ilce_adi;mahalle_adi;sulama_suyu_kaynagi_yonetimi
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;SULAMA BİRLİĞİ
Ahırlı;BÜYÜKÖZ;ŞAHSİ KUYULAR
Ahırlı;ÇİFTLİK;ŞAHSİ KUYULAR
Ahırlı;ERDOĞAN;ŞAHSİ KUYULAR
Ahırlı;KARACAKUYU;ŞAHSİ KUYULAR
Ahırlı;KAYACIK;ŞAHSİ KUYULAR
Ahırlı;KURUÇAY;ŞAHSİ KUYULAR
Ahırlı;KÜÇÜKÖZ;ŞAHSİ KUYULAR
Akören;AVDAN;ŞAHSİ KUYULAR
Akören;KAYASU;SULAMA KOOPERATİFİ
Akören;AHMEDİYE;SULAMA KOOPERATİFİ
Akören;ALAN;YOK
Akören;BELKUYU;ŞAHSİ KUYULAR
Akören;ÇATÖREN;SULAMA KOOPERATİFİ
Akören;DUTLU;YOK
Akören;ORHANİYE;SULAMA KOOPERATİFİ
Akören;SÜLEYMANİYE;SULAMA KOOPERATİFİ
Akören;TÜLCE;SULAMA KOOPERATİFİ
Akören;KARAHÜYÜK;SULAMA KOOPERATİFİ
Akşehir;ÇAKILLAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;GEDİL;SULAMA KOOPERATİFİ
Akşehir;KARAHÜYÜK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ADSIZ;SULAMA KOOPERATİFİ
Akşehir;ALANYURT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ALTUNTAŞ;SULAMA KOOPERATİFİ
Akşehir;ATAKENT;SULAMA KOOPERATİFİ
Akşehir;BOZLAĞAN;SULAMA KOOPERATİFİ
Akşehir;CANKURTARAN;ŞAHSİ KUYULAR
Akşehir;ÇAMLI;SULAMA BİRLİĞİ
Akşehir;ÇİMENDERE;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Akşehir;DEĞİRMENKÖY;SULAMA KOOPERATİFİ
Akşehir;DOĞRUGÖZ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ENGİLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;GÖLÇAYIR;SULAMA KOOPERATİFİ
Akşehir;GÖZPINARI;SULAMA KOOPERATİFİ
Akşehir;ILICAK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;KARABULUT;SULAMA KOOPERATİFİ
Akşehir;ORTACA;ŞAHSİ KUYULAR
Akşehir;ORTAKÖY;ŞAHSİ KUYULAR
Akşehir;REİS;ŞAHSİ KUYULAR
Akşehir;SAVAŞ;SULAMA KOOPERATİFİ
Akşehir;SORKUN;SULAMA KOOPERATİFİ
Akşehir;SÖĞÜTLÜ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;TEKKE;ŞAHSİ KUYULAR
Akşehir;TİPİKÖY;ŞAHSİ KUYULAR
Akşehir;ULUPINAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Akşehir;YAŞARLAR;ŞAHSİ KUYULAR
Akşehir;YAYLABELEN;SULAMA KOOPERATİFİ
Akşehir;YAZLA;SULAMA KOOPERATİFİ
Akşehir;YENİKÖY;ŞAHSİ KUYULAR
Akşehir;YEŞİLKÖY;ŞAHSİ KUYULAR
Akşehir;SARAY;SULAMA KOOPERATİFİ
Altınekin;OĞUZELİ;ŞAHSİ KUYULAR
Altınekin;AKCAŞAR;ŞAHSİ KUYULAR
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;ŞAHSİ KUYULAR
Altınekin;BORUKKUYU;SULAMA KOOPERATİFİ
Altınekin;HACINUMAN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Altınekin;KARAKAYA;ŞAHSİ KUYULAR
Altınekin;KOÇAŞ;SULAMA KOOPERATİFİ
Altınekin;KOÇYAKA;ŞAHSİ KUYULAR
Altınekin;MANTAR;SULAMA KOOPERATİFİ
Altınekin;YENİÖLMEZ;ŞAHSİ KUYULAR
Altınekin;SARNIÇ;ŞAHSİ KUYULAR
Altınekin;TOPRAKLIK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Altınekin;YENİKUYU;SULAMA KOOPERATİFİ
Altınekin;YENİYAYLA;ŞAHSİ KUYULAR
Altınekin;DEDELER;ŞAHSİ KUYULAR
Altınekin;AKINCILAR;ŞAHSİ KUYULAR
Beyşehir;ADAKÖY;ŞAHSİ KUYULAR
Beyşehir;AĞILÖNÜ;ŞAHSİ KUYULAR
Beyşehir;AKBURUN;ŞAHSİ KUYULAR
Beyşehir;AKÇABELEN;SULAMA KOOPERATİFİ
Beyşehir;AVDANCIK;SULAMA BİRLİĞİ
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;SULAMA BİRLİĞİ
Beyşehir;BAYAVŞAR;SULAMA BİRLİĞİ
Beyşehir;BAYINDIR;SULAMA BİRLİĞİ
Beyşehir;BAŞGÖZE;SULAMA BİRLİĞİ
Beyşehir;BEKDEMİR;SULAMA BİRLİĞİ
Beyşehir;DAMLAPINAR;SULAMA BİRLİĞİ
Beyşehir;DOĞANBEY;SULAMA BİRLİĞİ
Beyşehir;DOĞANCIK;SULAMA KOOPERATİFİ
Beyşehir;DUMANLI;SULAMA BİRLİĞİ
Beyşehir;EMEN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;ESENCE;ŞAHSİ KUYULAR
Beyşehir;EYLİKLER;ŞAHSİ KUYULAR
Beyşehir;EĞİRLER;ŞAHSİ KUYULAR
Beyşehir;FASILLAR;ŞAHSİ KUYULAR
Beyşehir;GÖKÇEKUYU;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;GÖKÇİMEN;ŞAHSİ KUYULAR
Beyşehir;GÖLKAŞI;SULAMA KOOPERATİFİ
Beyşehir;GÖLYAKA;ŞAHSİ KUYULAR
Beyşehir;GÖNEN;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;GÖÇÜ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;GÜNDOĞDU;ŞAHSİ KUYULAR
Beyşehir;HUĞLU;ŞAHSİ KUYULAR
Beyşehir;HÜSEYİNLER;ŞAHSİ KUYULAR
Beyşehir;İSAKÖY;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;KARAALİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;KARABAYAT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;KARADİKEN;ŞAHSİ KUYULAR
Beyşehir;KARAHİSAR;SULAMA BİRLİĞİ
Beyşehir;KAYABAŞI;ŞAHSİ KUYULAR
Beyşehir;KURUCUOVA;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;KUŞLUCA;ŞAHSİ KUYULAR
Beyşehir;KÜÇÜKAVŞAR;ŞAHSİ KUYULAR
Beyşehir;MESUTLAR;ŞAHSİ KUYULAR
Beyşehir;SADIKHACI;SULAMA KOOPERATİFİ
Beyşehir;SARIKÖY;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;SEVİNDİK;SULAMA KOOPERATİFİ
Beyşehir;ŞAMLAR;ŞAHSİ KUYULAR
Beyşehir;ÜÇPINAR;ŞAHSİ KUYULAR
Beyşehir;ÜSTÜNLER;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;ÜZÜMLÜ;ŞAHSİ KUYULAR
Beyşehir;YAZYURDU;ŞAHSİ KUYULAR
Beyşehir;YENİDOĞAN;SULAMA KOOPERATİFİ
Beyşehir;YEŞİLDAĞ;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;YUKARIESENCE;SULAMA BİRLİĞİ
Beyşehir;YUNUSLAR;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;ÇİFTLİK;SULAMA BİRLİĞİ
Beyşehir;ÇİVRİL;SULAMA BİRLİĞİ
Beyşehir;ÇUKURAĞIL;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Bozkır;ÇAĞLAYAN;ŞAHSİ KUYULAR
Bozkır;HAMZALAR;ŞAHSİ KUYULAR
Bozkır;AKÇAPINAR;SULAMA KOOPERATİFİ
Bozkır;ARMUTLU;ŞAHSİ KUYULAR
Bozkır;ARSLANTAŞ;ŞAHSİ KUYULAR
Bozkır;AYDINKIŞLA;ŞAHSİ KUYULAR
Bozkır;AYVALCA;ŞAHSİ KUYULAR
Bozkır;BAĞYURDU;ŞAHSİ KUYULAR
Bozkır;BAYBAĞAN;SULAMA KOOPERATİFİ
Bozkır;BOZDAM;ŞAHSİ KUYULAR
Bozkır;DEREİÇİ;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Bozkır;DEREKÖY;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ, BELEDİYE
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;ŞAHSİ KUYULAR
Bozkır;HACIYUNUSLAR;ŞAHSİ KUYULAR
Bozkır;HARMANPINAR;ŞAHSİ KUYULAR
Bozkır;HİSARLIK;ŞAHSİ KUYULAR
Bozkır;IŞIKLAR;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ, BELEDİYE
Bozkır;KARABAYIR;ŞAHSİ KUYULAR
Bozkır;KARACAARDIÇ;ŞAHSİ KUYULAR
Bozkır;KARACAHİSAR;ŞAHSİ KUYULAR
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;ŞAHSİ KUYULAR
Bozkır;KAYAPINAR;ŞAHSİ KUYULAR
Bozkır;KINIK;ŞAHSİ KUYULAR
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;ŞAHSİ KUYULAR
Bozkır;KOVANLIK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Bozkır;KOZAĞAÇ;ŞAHSİ KUYULAR
Bozkır;KUŞÇA;ŞAHSİ KUYULAR
Bozkır;KÜÇÜKHİSARLIK;ŞAHSİ KUYULAR
Bozkır;PINARCIK;ŞAHSİ KUYULAR
Bozkır;SARIOĞLAN;ŞAHSİ KUYULAR
Bozkır;SAZLI;ŞAHSİ KUYULAR
Bozkır;SOĞUCAK;ŞAHSİ KUYULAR
Bozkır;SORKUN;ŞAHSİ KUYULAR
Bozkır;SÖĞÜT;ŞAHSİ KUYULAR
Bozkır;TARLABAŞI;ŞAHSİ KUYULAR
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;ŞAHSİ KUYULAR
Bozkır;TEPELİCE;ŞAHSİ KUYULAR
Bozkır;ULUPINAR;ŞAHSİ KUYULAR
Bozkır;ÜÇPINAR;ŞAHSİ KUYULAR
Bozkır;YALNIZCA;ŞAHSİ KUYULAR
Bozkır;YAZDAMI;ŞAHSİ KUYULAR
Bozkır;YELBEYİ;ŞAHSİ KUYULAR
Bozkır;YENİKÖY;ŞAHSİ KUYULAR
Bozkır;YOLÖREN;ŞAHSİ KUYULAR
Çeltik;GÖKPINAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;ADAKASIM;ŞAHSİ KUYULAR
Çeltik;DOĞANYURT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;KAŞÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;KÜÇÜKHASAN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;TORUNLAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;İSHAKUŞAĞI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çeltik;HONAMLI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Cihanbeyli;BÖĞRÜDELİK;SULAMA KOOPERATİFİ
Cihanbeyli;YAPALI;ŞAHSİ KUYULAR
Cihanbeyli;YENİCEOBA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;ŞAHSİ KUYULAR
Cihanbeyli;GÖKTEPE;ŞAHSİ KUYULAR
Cihanbeyli;AĞABEYLİ;ŞAHSİ KUYULAR
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;ŞAHSİ KUYULAR
Cihanbeyli;KIRKIŞLA;ŞAHSİ KUYULAR
Cihanbeyli;KORKMAZLAR;ŞAHSİ KUYULAR
Cihanbeyli;KÜÇÜKBEŞKAVAK;ŞAHSİ KUYULAR
Cihanbeyli;MUTLUKONAK;ŞAHSİ KUYULAR
Cihanbeyli;SAĞLIK;YOK
Cihanbeyli;SIĞIRCIK;SULAMA KOOPERATİFİ
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;ŞAHSİ KUYULAR
Cihanbeyli;UZUNCAYAYLA;ŞAHSİ KUYULAR
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERİYE;ŞAHSİ KUYULAR
Cihanbeyli;GÖLYAZI;ŞAHSİ KUYULAR
Cihanbeyli;GÜNYÜZÜ;ŞAHSİ KUYULAR
Cihanbeyli;İNSUYU;ŞAHSİ KUYULAR
Cihanbeyli;KANDİL;ŞAHSİ KUYULAR
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;ŞAHSİ KUYULAR
Cihanbeyli;KUŞCA;ŞAHSİ KUYULAR
Cihanbeyli;KÜTÜKUŞAĞI;ŞAHSİ KUYULAR
Cihanbeyli;TAŞPINAR;ŞAHSİ KUYULAR
Cihanbeyli;BEYLİOVA;ŞAHSİ KUYULAR
Cihanbeyli;ÇİMEN;ŞAHSİ KUYULAR
Cihanbeyli;ÇÖL;ŞAHSİ KUYULAR
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;ŞAHSİ KUYULAR
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;SULAMA KOOPERATİFİ
Çumra;DEDEMOĞLU;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Çumra;TÜRKMENCAMİLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;A.B.HÜYÜĞÜ;SULAMA KOOPERATİFİ
Çumra;DİNEK;SULAMA KOOPERATİFİ
Çumra;İÇERİÇUMRA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;GÜVERCİNLİK;ŞAHSİ KUYULAR
Çumra;KARKIN;ŞAHSİ KUYULAR
Çumra;OKÇU;SULAMA KOOPERATİFİ
Çumra;YENİSU;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;APA;SULAMA KOOPERATİFİ
Çumra;ABDİTOLU;SULAMA KOOPERATİFİ
Çumra;ADAKALE;ŞAHSİ KUYULAR
Çumra;ALEMDAR;ŞAHSİ KUYULAR
Çumra;APASARAYCIK;ŞAHSİ KUYULAR
Çumra;AFŞAR;YOK
Çumra;AVDUL;SULAMA KOOPERATİFİ
Çumra;BALÇIKHİSAR;SULAMA KOOPERATİFİ
Çumra;BEYLERCE;SULAMA KOOPERATİFİ
Çumra;B.AŞLAMA;ŞAHSİ KUYULAR
Çumra;CİCEK;SULAMA KOOPERATİFİ
Çumra;ÇUKURKAVAK;ŞAHSİ KUYULAR
Çumra;DİNLENDİK;ŞAHSİ KUYULAR
Çumra;DİNEKSARAY;SULAMA KOOPERATİFİ
Çumra;DOĞANLI;ŞAHSİ KUYULAR
Çumra;FETHİYE;SULAMA KOOPERATİFİ
Çumra;GÖKHÜYÜK;ŞAHSİ KUYULAR
Çumra;ERENTEPE;ŞAHSİ KUYULAR
Çumra;İNLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;KUZUCU;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;KÜÇÜKKÖY;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;SEÇME;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;SÜRGÜÇ;SULAMA KOOPERATİFİ
Çumra;TAHTALI;ŞAHSİ KUYULAR
Çumra;T.KARAHÜYÜK;SULAMA KOOPERATİFİ
Çumra;TAŞAĞIL;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;UZUNKUYU;SULAMA KOOPERATİFİ
Çumra;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Çumra;ÜRÜNLÜ;ŞAHSİ KUYULAR
Çumra;YÖRÜKCAMİLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Çumra;ÇAYBAŞI;SULAMA KOOPERATİFİ
Derbent;ÇİFTLİKÖZÜ;SULAMA KOOPERATİFİ
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;ŞAHSİ KUYULAR
Derbent;GÜNEYKÖY;ŞAHSİ KUYULAR
Derbent;MÜLAYİM;YOK
Derbent;SARAYPINAR;ŞAHSİ KUYULAR
Derbent;YASSIÖREN;ŞAHSİ KUYULAR
Derbent;SÜLEYMAN;ŞAHSİ KUYULAR
Derbent;KARALAR;ŞAHSİ KUYULAR
Derebucak;ÇAMLIK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Derebucak;DURAK;YOK
Derebucak;GENCEK;SULAMA KOOPERATİFİ
Derebucak;GÖYNEM;SULAMA KOOPERATİFİ
Derebucak;PINARBAŞI;SULAMA BİRLİĞİ
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;ŞAHSİ KUYULAR
Derebucak;UĞURLU;YOK
Doğanhisar;BAŞKÖY;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Doğanhisar;YAZLICA;SULAMA KOOPERATİFİ
Doğanhisar;AYASLAR;SULAMA KOOPERATİFİ
Doğanhisar;ÇINAROBA;SULAMA KOOPERATİFİ
Doğanhisar;DEŞTİĞİN;SULAMA KOOPERATİFİ
Doğanhisar;FIRINLI;BELEDİYE
Doğanhisar;GÜVENDİK;YOK
Doğanhisar;İLYASLAR;SULAMA KOOPERATİFİ
Doğanhisar;KARAAĞA;SULAMA KOOPERATİFİ
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;ŞAHSİ KUYULAR
Doğanhisar;KONAKKALE;SULAMA KOOPERATİFİ
Doğanhisar;TEKKE;ŞAHSİ KUYULAR
Doğanhisar;UNCULAR;SULAMA KOOPERATİFİ
Doğanhisar;YAZIR;SULAMA KOOPERATİFİ
Doğanhisar;YENİCE;SULAMA KOOPERATİFİ
Emirgazi;EKİZLİ;ŞAHSİ KUYULAR
Emirgazi;AKMESCİT;SULAMA KOOPERATİFİ
Emirgazi;BESCİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Emirgazi;DEMİRCİ;ŞAHSİ KUYULAR
Emirgazi;GÖLÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Emirgazi;IŞIKLAR;SULAMA KOOPERATİFİ
Emirgazi;KARAÖREN;ŞAHSİ KUYULAR
Emirgazi;MEŞELİ;ŞAHSİ KUYULAR
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Ereğli;ZENGEN;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ereğli;ACIPINAR;SULAMA BİRLİĞİ
Ereğli;ADABAĞ;SULAMA BİRLİĞİ
Ereğli;AKHÜYÜK;SULAMA BİRLİĞİ
Ereğli;ALHAN;SULAMA BİRLİĞİ
Ereğli;AŞAĞI GÖNDELEN;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;AŞIKLAR;SULAMA KOOPERATİFİ
Ereğli;AZİZİYE;SULAMA BİRLİĞİ
Ereğli;BAHÇELİ;SULAMA BİRLİĞİ
Ereğli;BELCEAĞAÇ;SULAMA BİRLİĞİ
Ereğli;BELKAYA;SULAMA KOOPERATİFİ
Ereğli;BEYKÖY;SULAMA BİRLİĞİ
Ereğli;BEYÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Ereğli;BULGURLUK;SULAMA BİRLİĞİ
Ereğli;BURHANİYE;SULAMA BİRLİĞİ
Ereğli;BÜYÜKDEDE;SULAMA KOOPERATİFİ
Ereğli;ÇAKMAK;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ereğli;ÇAYHAN;SULAMA KOOPERATİFİ
Ereğli;ÇİLLER;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;ÇİMENCİK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;GAYBİ;SULAMA BİRLİĞİ
Ereğli;GÖKÇEYAZI;SULAMA BİRLİĞİ
Ereğli;GÖKTÖME;SULAMA BİRLİĞİ
Ereğli;HACIMEMİŞ;SULAMA BİRLİĞİ
Ereğli;KAMIŞLIKUYU;SULAMA BİRLİĞİ
Ereğli;KARABURUN;SULAMA BİRLİĞİ
Ereğli;KARGACI;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;KIZILGEDİK;SULAMA BİRLİĞİ
Ereğli;KUSKUNCUK;SULAMA BİRLİĞİ
Ereğli;KUTÖREN;SULAMA KOOPERATİFİ
Ereğli;KUZUKUYU;SULAMA BİRLİĞİ
Ereğli;MELİCEK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;ORHANİYE;SULAMA BİRLİĞİ
Ereğli;ÖZGÜRLER;SULAMA BİRLİĞİ
Ereğli;PINARÖZÜ;ŞAHSİ KUYULAR
Ereğli;SARICA;SULAMA BİRLİĞİ
Ereğli;SARITOPALLI;ŞAHSİ KUYULAR
Ereğli;SELVİLİ;ŞAHSİ KUYULAR
Ereğli;TAŞAĞIL;SULAMA KOOPERATİFİ
Ereğli;TAŞBUDAK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Ereğli;TATLIKUYU;ŞAHSİ KUYULAR
Ereğli;TÜRKMEN;SULAMA BİRLİĞİ
Ereğli;ULUMEŞE;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Ereğli;YAZLIK;SULAMA BİRLİĞİ
Ereğli;YELLİCE;SULAMA BİRLİĞİ
Ereğli;YENİKÖY;ŞAHSİ KUYULAR
Ereğli;YILDIZLI;SULAMA BİRLİĞİ
Ereğli;YUKARIGÖNDELEN;SULAMA BİRLİĞİ
Ereğli;HORTU;SULAMA KOOPERATİFİ
Ereğli;ACIKUYU;SULAMA BİRLİĞİ
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;ŞAHSİ KUYULAR
Güneysınır;ALANÖZÜ;ŞAHSİ KUYULAR
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;YOK
Güneysınır;HABİLLER;SULAMA KOOPERATİFİ
Güneysınır;KARAGÜNEY;ŞAHSİ KUYULAR
Güneysınır;KAYAAĞZI;ŞAHSİ KUYULAR
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;ŞAHSİ KUYULAR
Güneysınır;MEHMET ALİ;BELEDİYE
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;ŞAHSİ KUYULAR
Güneysınır;SARIHACI;SULAMA KOOPERATİFİ
Hadim;AŞAĞIEŞENLER;SULAMA KOOPERATİFİ
Hadim;AŞAĞIKIZILKAYA;ŞAHSİ KUYULAR
Hadim;BADEMLİ;SULAMA BİRLİĞİ
Hadim;BAĞBAŞI;ŞAHSİ KUYULAR
Hadim;BEYRELİ;ŞAHSİ KUYULAR
Hadim;BOLAT;ŞAHSİ KUYULAR
