ilce_adi;mahalle_adi;sulama_suyu_kaynagi_yonetimi
Hadim;ÇİFTEPINAR;SULAMA KOOPERATİFİ
Hadim;DEDEMLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Hadim;DÜLGERLER;ŞAHSİ KUYULAR
Hadim;FAKILAR;ŞAHSİ KUYULAR
Hadim;GAZİLER;ŞAHSİ KUYULAR
Hadim;GÖYNÜKKIŞLA;SULAMA BİRLİĞİ
Hadim;GÜLPINAR;SULAMA BİRLİĞİ
Hadim;İĞDEÖREN;YOK
Hadim;KALINAĞIL;ŞAHSİ KUYULAR
Hadim;KAPLANLI;ŞAHSİ KUYULAR
Hadim;GEZLEVİ;SULAMA BİRLİĞİ
Hadim;KÜPLÜCE;BELEDİYE
Hadim;ODUNCU;ŞAHSİ KUYULAR
Hadim;SARNIÇ;ŞAHSİ KUYULAR
Hadim;SELAHATTİN;BELEDİYE
Hadim;UMURLAR;ŞAHSİ KUYULAR
Hadim;YAĞCI;SULAMA KOOPERATİFİ
Hadim;YALINÇEVRE;ŞAHSİ KUYULAR
Hadim;YELMEZ;SULAMA KOOPERATİFİ
Hadim;YENİKONAK;ŞAHSİ KUYULAR
Hadim;YUKARIEŞENLER;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Halkapınar;İVRİZ;SULAMA KOOPERATİFİ
Halkapınar;BÜYÜKDOĞAN;SULAMA KOOPERATİFİ
Halkapınar;DEDELİ;SULAMA BİRLİĞİ
Halkapınar;DELİMAHMUTLU;BELEDİYE
Halkapınar;ESKİHİSAR;SULAMA KOOPERATİFİ
Halkapınar;KARAYUSUFLU;ŞAHSİ KUYULAR
Halkapınar;KAYASARAY;SULAMA KOOPERATİFİ
Halkapınar;KÖRLÜ;ŞAHSİ KUYULAR
Halkapınar;KÜSERE;SULAMA BİRLİĞİ
Halkapınar;OSMANKÖSELİ;YOK
Halkapınar;SEYDİFAKILI;BELEDİYE
Halkapınar;YASSIKAYA;BELEDİYE
Halkapınar;YAYIKLI;SULAMA KOOPERATİFİ
Halkapınar;YEŞİLYURT;ŞAHSİ KUYULAR
Halkapınar;ÇAKILLAR;ŞAHSİ KUYULAR
Hüyük;BAŞLAMIŞ;SULAMA KOOPERATİFİ
Hüyük;BUDAK;SULAMA BİRLİĞİ
Hüyük;BURUNSUZ;SULAMA KOOPERATİFİ
Hüyük;ÇAMLICA;SULAMA KOOPERATİFİ
Hüyük;ÇAVUŞ;SULAMA KOOPERATİFİ
Hüyük;ÇUKURKENT;SULAMA BİRLİĞİ
Hüyük;DEĞİRMENALTI;SULAMA KOOPERATİFİ
Hüyük;GÖÇERİ;SULAMA KOOPERATİFİ
Hüyük;GÖRÜNMEZ;ŞAHSİ KUYULAR
Hüyük;İLMEN;SULAMA KOOPERATİFİ
Hüyük;İMRENLER;SULAMA KOOPERATİFİ
Hüyük;KIRELİ;SULAMA BİRLİĞİ
Hüyük;KÖŞK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Hüyük;MUTLU;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Hüyük;PINARBAŞI;SULAMA KOOPERATİFİ
Hüyük;SELKİ;SULAMA KOOPERATİFİ
Hüyük;SULUDERE;SULAMA KOOPERATİFİ
Hüyük;TOLCA;SULAMA BİRLİĞİ
Hüyük;YENİCE;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ilgın;ARGITHANI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Ilgın;BEYKONAK;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ilgın;ÇAVUŞÇUGÖL;SULAMA KOOPERATİFİ
Ilgın;AĞALAR;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ilgın;BALKI;SULAMA BİRLİĞİ
Ilgın;BARAKMUSLU;YOK
Ilgın;BELEKLER;SULAMA KOOPERATİFİ
Ilgın;BOĞAZKENT;SULAMA KOOPERATİFİ
Ilgın;BULCUK;SULAMA KOOPERATİFİ
Ilgın;BÜYÜKOBA;ŞAHSİ KUYULAR
Ilgın;ÇİĞİL;SULAMA KOOPERATİFİ
Ilgın;ÇATAK;YOK
Ilgın;ÇOBANKAYA;YOK
Ilgın;ÇÖMLEKCİ;YOK
Ilgın;DEREKÖY;YOK
Ilgın;DIĞRAK;YOK
Ilgın;DÜĞER;ŞAHSİ KUYULAR
Ilgın;ELDEŞ;SULAMA BİRLİĞİ
Ilgın;GEÇİT;ŞAHSİ KUYULAR
Ilgın;GEDİKÖREN;SULAMA BİRLİĞİ
Ilgın;GÖSTERE;SULAMA BİRLİĞİ
Ilgın;GÖKÇEYURT;SULAMA BİRLİĞİ
Ilgın;GÖLYAKA;ŞAHSİ KUYULAR
Ilgın;GÖKBUDAK;YOK
Ilgın;GÜNEYPINAR;ŞAHSİ KUYULAR
Ilgın;HARMANYAZI;SULAMA KOOPERATİFİ
Ilgın;İHSANİYE;SULAMA BİRLİĞİ
Ilgın;KAPAKLI;ŞAHSİ KUYULAR
Ilgın;KARAKÖY;SULAMA BİRLİĞİ
Ilgın;KALEKÖY;ŞAHSİ KUYULAR
Ilgın;MAHMUTHİSAR;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Ilgın;MECİDİYE;ŞAHSİ KUYULAR
Ilgın;MİSAFİRLİ;ŞAHSİ KUYULAR
Ilgın;OLUKPINAR;SULAMA KOOPERATİFİ
Ilgın;ORHANİYE;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Ilgın;ORMANÖZÜ;ŞAHSİ KUYULAR
Ilgın;SADIKKÖY;SULAMA BİRLİĞİ
Ilgın;SEBİLLER;BELEDİYE
Ilgın;TEKELER;YOK
Ilgın;YUKARIÇİĞİL;SULAMA KOOPERATİFİ
Ilgın;YORAZLAR;ŞAHSİ KUYULAR
Ilgın;ZAFERİYE;SULAMA BİRLİĞİ
Ilgın;AVDAN;ŞAHSİ KUYULAR
Kadınhanı;OSMANCIK;SULAMA KOOPERATİFİ
Kadınhanı;AFŞARLI;ŞAHSİ KUYULAR
Kadınhanı;ALABAĞ;ŞAHSİ KUYULAR
Kadınhanı;ATLANTI;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Kadınhanı;BAKIRPINAR;ŞAHSİ KUYULAR
Kadınhanı;BAŞKUYU;SULAMA KOOPERATİFİ
Kadınhanı;BAYRAMLI;ŞAHSİ KUYULAR
Kadınhanı;BEYKAVAĞI;SULAMA KOOPERATİFİ
Kadınhanı;BULGURPINAR;ŞAHSİ KUYULAR
Kadınhanı;ÇAVDAR;ŞAHSİ KUYULAR
Kadınhanı;ÇEŞMECİK;YOK
Kadınhanı;ÇUBUK;YOK
Kadınhanı;DEMİROLUK;ŞAHSİ KUYULAR
Kadınhanı;HACIMEHMETLİ;ŞAHSİ KUYULAR
Kadınhanı;HACIOFLAZLAR;ŞAHSİ KUYULAR
Kadınhanı;HACIPİRLİ;ŞAHSİ KUYULAR
Kadınhanı;KABACALI;YOK
Kadınhanı;KAMIŞLIÖZÜ;SULAMA KOOPERATİFİ
Kadınhanı;KARAHİSARLI;ŞAHSİ KUYULAR
Kadınhanı;KARAKURTLU;ŞAHSİ KUYULAR
Kadınhanı;KARASEVİNÇ;YOK
Kadınhanı;KARAYÜRÜKLÜ;ŞAHSİ KUYULAR
Kadınhanı;KIZILKUYU;ŞAHSİ KUYULAR
Kadınhanı;KOLUKISA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Kadınhanı;KONURÖREN;ŞAHSİ KUYULAR
Kadınhanı;KÖKEZ;ŞAHSİ KUYULAR
Kadınhanı;KÖYLÜTOLU;ŞAHSİ KUYULAR
Kadınhanı;KURTHASANLI;ŞAHSİ KUYULAR
Kadınhanı;KÜÇÜKKUYU;ŞAHSİ KUYULAR
Kadınhanı;MAHMUDİYE;SULAMA BİRLİĞİ
Kadınhanı;MEYDANLI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Kadınhanı;ÖRNEK;ŞAHSİ KUYULAR
Kadınhanı;PİRALİ;YOK
Kadınhanı;PUSAT;YOK
Kadınhanı;SAÇIKARA;SULAMA KOOPERATİFİ
Kadınhanı;SARIKAYA;YOK
Kadınhanı;SÖĞÜTÖZÜ;ŞAHSİ KUYULAR
Kadınhanı;ŞAHÖREN;SULAMA BİRLİĞİ
Kadınhanı;TOSUNOĞLU;ŞAHSİ KUYULAR
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;ŞAHSİ KUYULAR
Karapınar;HOTAMIŞ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;KESMEZ;SULAMA KOOPERATİFİ
Karapınar;AKÇAYAZI;ŞAHSİ KUYULAR
Karapınar;AKÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;ÇİĞİL;ŞAHSİ KUYULAR
Karapınar;HASANOBA;SULAMA KOOPERATİFİ
Karapınar;İSLİK;ŞAHSİ KUYULAR
Karapınar;KARAKIŞLA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;KAYACIK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;KAYALI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;KAZANHÜYÜĞÜ;SULAMA KOOPERATİFİ
Karapınar;KÜÇÜKAŞLAMA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;ORTAOBA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;OYMALI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;SAZLIPINAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;YAĞMAPINAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;YENİKUYU;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karapınar;YEŞİLYURT;ŞAHSİ KUYULAR
Karatay;YARMA;ŞAHSİ KUYULAR
Karatay;ACIDORT;ŞAHSİ KUYULAR
Karatay;AĞSAKLI;ŞAHSİ KUYULAR
Karatay;AKBAŞ;ŞAHSİ KUYULAR
Karatay;AKÖRENKIŞLA;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;BAKIRTOLU;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Karatay;BAŞGÖTÜREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;BEŞAĞIL;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;BÜYÜKBURNAK;SULAMA KOOPERATİFİ
Karatay;ÇENGİLTİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;DİVANLAR;YOK
Karatay;ESENTEPE;ŞAHSİ KUYULAR
Karatay;GÖÇÜ;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Karatay;HAYIROĞLU MERKEZ;ŞAHSİ KUYULAR
Karatay;İPEKLER;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;İSMİL;SULAMA BİRLİĞİ
Karatay;KARADONA;ŞAHSİ KUYULAR
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;KIZÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;KÖSEALİ;ŞAHSİ KUYULAR
Karatay;OBRUK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;OVAKAVAĞI;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Karatay;SAKYATAN;SULAMA BİRLİĞİ
Karatay;SÜRÜÇ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Karatay;ŞATIR;SULAMA KOOPERATİFİ
Karatay;YAĞLIBAYAT;ŞAHSİ KUYULAR
Karatay;YAVŞANKUYU;ŞAHSİ KUYULAR
Karatay;YENİCE;ŞAHSİ KUYULAR
Karatay;YENİKENT;ŞAHSİ KUYULAR
Karatay;ZİNCİRLİ;ŞAHSİ KUYULAR
Kulu;ACIKUYU;ŞAHSİ KUYULAR
Kulu;AĞILBAŞI;ŞAHSİ KUYULAR
Kulu;ALTILAR;ŞAHSİ KUYULAR
Kulu;ARŞINCA;ŞAHSİ KUYULAR
Kulu;BEŞKARDEŞ;YOK
Kulu;BOĞAZÖREN;YOK
Kulu;BOZAN;ŞAHSİ KUYULAR
Kulu;BURUNAĞIL;ŞAHSİ KUYULAR
Kulu;CANIMANA;ŞAHSİ KUYULAR
Kulu;CELEP;ŞAHSİ KUYULAR
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;ŞAHSİ KUYULAR
Kulu;FEVZİYE;ŞAHSİ KUYULAR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;ŞAHSİ KUYULAR
Kulu;HİSAR;YOK
Kulu;KARACADAĞ;SULAMA KOOPERATİFİ
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;SULAMA KOOPERATİFİ
Kulu;KÖMÜŞİNİ;YOK
Kulu;KÖŞKER;YOK
Kulu;SARIYAYLA;SULAMA KOOPERATİFİ
Kulu;SEYİTAHMETLİ;ŞAHSİ KUYULAR
Kulu;SOĞUKKUYU;ŞAHSİ KUYULAR
Kulu;ŞEREFLİ;ŞAHSİ KUYULAR
Kulu;TAVLIÖREN;ŞAHSİ KUYULAR
Kulu;ÖMERANLI;ŞAHSİ KUYULAR
Kulu;TUZYAKA;ŞAHSİ KUYULAR
Kulu;YARAŞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEŞİLTEPE;ŞAHSİ KUYULAR
Kulu;YEŞİLYURT;ŞAHSİ KUYULAR
Kulu;ZİNCİRLİKUYU;BELEDİYE
Kulu;BAHADIRLI;ŞAHSİ KUYULAR
Kulu;DEĞİRMENÖZÜ;ŞAHSİ KUYULAR
Meram;ERENKAYA;YOK
Meram;YATAĞAN;ŞAHSİ KUYULAR
Meram;GÖKYURT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Meram;BAYAT;ŞAHSİ KUYULAR
Meram;BORUKTOLU;ŞAHSİ KUYULAR
Meram;BOTSA;SULAMA KOOPERATİFİ
Meram;ÇAYIRBAĞI;SULAMA KOOPERATİFİ
Meram;ÇOMAKLAR;ŞAHSİ KUYULAR
Meram;ÇUKURÇİMEN;SULAMA KOOPERATİFİ
Meram;EVLİYATEKKE;SULAMA KOOPERATİFİ
Meram;HATUNSARAY;SULAMA KOOPERATİFİ
Meram;İKİPINAR;ŞAHSİ KUYULAR
Meram;İLYASBABA;SULAMA KOOPERATİFİ
Meram;İNLİCE;SULAMA KOOPERATİFİ
Meram;KARAAĞAÇ;YOK
Meram;KAVAK;SULAMA KOOPERATİFİ
Meram;KAYADİBİ;SULAMA KOOPERATİFİ
Meram;KAYALI;ŞAHSİ KUYULAR
Meram;KAYHÜYÜK;ŞAHSİ KUYULAR
Meram;KIZILÖREN;SULAMA KOOPERATİFİ
Meram;KUMRALI;ŞAHSİ KUYULAR
Meram;SADIKLAR;ŞAHSİ KUYULAR
Meram;SAĞLIK;ŞAHSİ KUYULAR
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;SULAMA KOOPERATİFİ
Meram;YEŞİLDERE;SULAMA KOOPERATİFİ
Meram;YEŞİLTEKKE;SULAMA KOOPERATİFİ
Meram;KAŞINHANI;ŞAHSİ KUYULAR
Sarayönü;LADİK;SULAMA KOOPERATİFİ
Sarayönü;BAHÇESARAY;SULAMA KOOPERATİFİ
Sarayönü;BAŞHÜYÜK;ŞAHSİ KUYULAR
Sarayönü;BOYALI;ŞAHSİ KUYULAR
Sarayönü;BÜYÜKZENGİ;ŞAHSİ KUYULAR
Sarayönü;ÇEŞMELİSEBİL;ŞAHSİ KUYULAR
Sarayönü;DEĞİRMENLİ;ŞAHSİ KUYULAR
Sarayönü;ERTUĞRUL;ŞAHSİ KUYULAR
Sarayönü;GÖZLÜ;ŞAHSİ KUYULAR
Sarayönü;KADIOĞLU;ŞAHSİ KUYULAR
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;ŞAHSİ KUYULAR
Sarayönü;KAYIÖREN;ŞAHSİ KUYULAR
Sarayönü;KONAR;ŞAHSİ KUYULAR
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;ŞAHSİ KUYULAR
Sarayönü;ÖZKENT;ŞAHSİ KUYULAR
Sarayönü;YENİCEKAYA;ŞAHSİ KUYULAR
Selçuklu;BAŞARAKAVAK;SULAMA KOOPERATİFİ
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;ŞAHSİ KUYULAR
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;ŞAHSİ KUYULAR
Selçuklu;ÇALDERE;ŞAHSİ KUYULAR
Selçuklu;ÇALTI;ŞAHSİ KUYULAR
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;ŞAHSİ KUYULAR
Selçuklu;EĞRİBAYAT;ŞAHSİ KUYULAR
Selçuklu;GÜVENÇ;ŞAHSİ KUYULAR
Selçuklu;KALE;ŞAHSİ KUYULAR
Selçuklu;KARAÖMERLER;ŞAHSİ KUYULAR
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;ŞAHSİ KUYULAR
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;ŞAHSİ KUYULAR
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;ŞAHSİ KUYULAR
Selçuklu;ULUMUHSİNE;SULAMA BİRLİĞİ
Selçuklu;YAZIBELEN;ŞAHSİ KUYULAR
Selçuklu;SİLLE;SULAMA KOOPERATİFİ
Selçuklu;ARDIÇLI;SULAMA BİRLİĞİ
Selçuklu;AŞAĞIPINARBAŞI;ŞAHSİ KUYULAR
Selçuklu;YUKARIPINARBAŞI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Selçuklu;KÜÇÜKMUHSİNE;ŞAHSİ KUYULAR
Selçuklu;SARICALAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Selçuklu;TÖMEK;ŞAHSİ KUYULAR
Selçuklu;YÜKSELEN;SULAMA KOOPERATİFİ
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Seydişehir;AKÇALAR;ŞAHSİ KUYULAR
Seydişehir;AŞAĞIKARAÖREN;ŞAHSİ KUYULAR
Seydişehir;BAŞKARAÖREN;SULAMA BİRLİĞİ
Seydişehir;BOSTANDERE;SULAMA KOOPERATİFİ
Seydişehir;BOYALI;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Seydişehir;BÜKÇE;ŞAHSİ KUYULAR
Seydişehir;ÇAT;ŞAHSİ KUYULAR
Seydişehir;ÇATMAKAYA;ŞAHSİ KUYULAR
Seydişehir;ÇAVUŞ;ŞAHSİ KUYULAR
Seydişehir;DİKİLİTAŞ;SULAMA KOOPERATİFİ
Seydişehir;GEVREKLİ;ŞAHSİ KUYULAR
Seydişehir;GÖKÇEHÜYÜK;SULAMA KOOPERATİFİ
Seydişehir;GÖKHÜYÜK;SULAMA KOOPERATİFİ
Seydişehir;GÖLYÜZÜ;ŞAHSİ KUYULAR
Seydişehir;IRMAKLI;ŞAHSİ KUYULAR
Seydişehir;İNCESU;ŞAHSİ KUYULAR
Seydişehir;KARABULAK;ŞAHSİ KUYULAR
Seydişehir;KARACAÖREN;ŞAHSİ KUYULAR
Seydişehir;KAVAK;ŞAHSİ KUYULAR
Seydişehir;KETENLİ;ŞAHSİ KUYULAR
Seydişehir;KIZILCA;ŞAHSİ KUYULAR
Seydişehir;KOZLU;ŞAHSİ KUYULAR
Seydişehir;KUMLUCA;SULAMA KOOPERATİFİ
Seydişehir;KURAN;SULAMA KOOPERATİFİ
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;SULAMA KOOPERATİFİ
Seydişehir;MURADİYE;SULAMA KOOPERATİFİ
Seydişehir;OĞLAKÇI;SULAMA KOOPERATİFİ
Seydişehir;ORTAKARAÖREN;SULAMA KOOPERATİFİ
Seydişehir;SARAYCIK;ŞAHSİ KUYULAR
Seydişehir;SUSUZ;SULAMA KOOPERATİFİ
Seydişehir;TARAŞÇI;SULAMA KOOPERATİFİ
Seydişehir;TAŞAĞIL;SULAMA KOOPERATİFİ
Seydişehir;TEPECİK;YOK
Seydişehir;TOL;SULAMA KOOPERATİFİ
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;SULAMA KOOPERATİFİ
Seydişehir;YENİCE;SULAMA KOOPERATİFİ
Taşkent;AFŞAR;ŞAHSİ KUYULAR
Taşkent;BALCILAR;ŞAHSİ KUYULAR
Taşkent;BOLAY;ŞAHSİ KUYULAR
Taşkent;ÇETMİ;ŞAHSİ KUYULAR
Taşkent;KECİMEN;ŞAHSİ KUYULAR
Taşkent;KONGUL;ŞAHSİ KUYULAR
Taşkent;SAZAK;ŞAHSİ KUYULAR
Taşkent;ILICAPINAR;ŞAHSİ KUYULAR
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;ŞAHSİ KUYULAR
Tuzlukçu;TURSUNLU;ŞAHSİ KUYULAR
Tuzlukçu;KUNDULLU;ŞAHSİ KUYULAR
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;ŞAHSİ KUYULAR
Tuzlukçu;GÜRSU;ŞAHSİ KUYULAR
Tuzlukçu;ERDOĞDU;ŞAHSİ KUYULAR
Tuzlukçu;KÖKLÜCE;ŞAHSİ KUYULAR
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Yunak;KOÇYAZI;ŞAHSİ KUYULAR
Yunak;TURGUT;ŞAHSİ KUYULAR
Yunak;PİRİBEYLİ;YOK
Yunak;SÜLÜKLÜ;ŞAHSİ KUYULAR
Yunak;ALTINÖZ;ŞAHSİ KUYULAR
Yunak;AYRITEPE;YOK
Yunak;BEŞIŞIKLI;ŞAHSİ KUYULAR
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;ŞAHSİ KUYULAR
Yunak;EĞRİKUYU;ŞAHSİ KUYULAR
Yunak;HACIÖMEROĞLU;ŞAHSİ KUYULAR
Yunak;HATIRLI;ŞAHSİ KUYULAR
Yunak;HACIFAKILI;ŞAHSİ KUYULAR
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;ŞAHSİ KUYULAR
Yunak;İMAMOĞLU;ŞAHSİ KUYULAR
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;ŞAHSİ KUYULAR
Yunak;KILLAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Yunak;KURTUŞAĞI;YOK
Yunak;KUYUBAŞI;ŞAHSİ KUYULAR
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;ŞAHSİ KUYULAR
Yunak;ORTAKIŞLA;ŞAHSİ KUYULAR
Yunak;ÖZYAYLA;ŞAHSİ KUYULAR
Yunak;SERTLER;ŞAHSİ KUYULAR
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SİNANLI;ŞAHSİ KUYULAR
Yunak;YAVAŞLI;ŞAHSİ KUYULAR
Yunak;YEŞİLOBA;ŞAHSİ KUYULAR
Yunak;YEŞİLYAYLA;ŞAHSİ KUYULAR
Yunak;YIĞAR;ŞAHSİ KUYULAR
Yunak;SARAY;ŞAHSİ KUYULAR
;;
