ilce_adi;mahalle_adi;talep_edilen_tarimsal_egitimler
Ahırlı;ALİÇERÇİ;HAYVANCILIK, MODERN BAĞCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;BADEMLİ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;BALIKLAVA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;BÜYÜKÖZ;MODERN BAĞCILIK, ARI YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;ÇİFTLİK;HAYVANCILIK
Ahırlı;ERDOĞAN;ARI YETİŞTİRİCİLİĞİ, MANTAR YETİŞTİRİCİLİĞİ
Ahırlı;KARACAKUYU;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;KAYACIK;MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;KURUÇAY;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Ahırlı;KÜÇÜKÖZ;MODERN MEYVECİLİK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;AVDAN;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;KAYASU;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;AHMEDİYE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;ALAN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;BELKUYU;MODERN MEYVECİLİK, HAYVANCILIK
Akören;ÇATÖREN;MODERN SULAMA SİSTEMLERİ, ÇİLEK YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;DUTLU;HAYVANCILIK
Akören;ORHANİYE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;SÜLEYMANİYE;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;TÜLCE;MANTAR YETİŞTİRİCİLİĞİ
Akören;KARAHÜYÜK;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
Akşehir;ÇAKILLAR;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;GEDİL;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Akşehir;KARAHÜYÜK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;ADSIZ;MODERN MEYVECİLİK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ALANYURT;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;ALTUNTAŞ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;ATAKENT;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Akşehir;BOZLAĞAN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;CANKURTARAN;ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ÇAMLI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ÇİMENDERE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Akşehir;DEĞİRMENKÖY;MODERN MEYVECİLİK
Akşehir;DOĞRUGÖZ;HAYVANCILIK, MODERN BAĞCILIK, ARI YETİŞTİRİCİLİĞİ
Akşehir;ENGİLİ;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;GÖLÇAYIR;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK
Akşehir;GÖZPINARI;SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ILICAK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Akşehir;KARABULUT;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;ORTACA;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;ORTAKÖY;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;REİS;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;SAVAŞ;MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;SORKUN;MODERN MEYVECİLİK
Akşehir;SÖĞÜTLÜ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;TEKKE;YOK
Akşehir;TİPİKÖY;KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;ULUPINAR;YOK
Akşehir;ÜÇHÜYÜK;ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;YAŞARLAR;HAYVANCILIK
Akşehir;YAYLABELEN;MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;YAZLA;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Akşehir;YENİKÖY;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;YEŞİLKÖY;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;SARAY;MODERN MEYVECİLİK, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Altınekin;OĞUZELİ;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;AKCAŞAR;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;AYIŞIĞI;HAYVANCILIK
Altınekin;AKKÖY;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;BORUKKUYU;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;HACINUMAN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;KARAKAYA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;KOÇAŞ;HAYVANCILIK
Altınekin;KOÇYAKA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;MANTAR;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;YENİÖLMEZ;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;SARNIÇ;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;TOPRAKLIK;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;YENİKUYU;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
Altınekin;YENİYAYLA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;DEDELER;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Altınekin;AKINCILAR;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
Beyşehir;ADAKÖY;SEBZE YETİŞTİRİCİLİĞİ
Beyşehir;AĞILÖNÜ;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Beyşehir;AKBURUN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;AKÇABELEN;SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;AVDANCIK;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;BADEMLİ;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;BAYAT;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;BAYAVŞAR;YOK
Beyşehir;BAYINDIR;YOK
Beyşehir;BAŞGÖZE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;BEKDEMİR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;DAMLAPINAR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Beyşehir;DOĞANBEY;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;DOĞANCIK;HAYVANCILIK
Beyşehir;DUMANLI;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Beyşehir;EMEN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;ESENCE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;EYLİKLER;SEBZE YETİŞTİRİCİLİĞİ
Beyşehir;EĞİRLER;YOK
Beyşehir;FASILLAR;TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Beyşehir;GÖKÇEKUYU;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Beyşehir;GÖKÇİMEN;HAYVANCILIK
Beyşehir;GÖLKAŞI;HAYVANCILIK
Beyşehir;GÖLYAKA;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;GÖNEN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;GÖÇÜ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;GÜNDOĞDU;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;HUĞLU;YOK
Beyşehir;HÜSEYİNLER;MODERN MEYVECİLİK
Beyşehir;İSAKÖY;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;KARAALİ;HAYVANCILIK
Beyşehir;KARABAYAT;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;KARADİKEN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Beyşehir;KARAHİSAR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Beyşehir;KAYABAŞI;YOK
Beyşehir;KURUCUOVA;YOK
Beyşehir;KUŞLUCA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;KÜÇÜKAVŞAR;YOK
Beyşehir;MESUTLAR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Beyşehir;SADIKHACI;SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Beyşehir;SARIKÖY;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;SEVİNDİK;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Beyşehir;ŞAMLAR;MODERN MEYVECİLİK, MODERN BAĞCILIK
Beyşehir;ÜÇPINAR;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
Beyşehir;ÜSTÜNLER;HAYVANCILIK
Beyşehir;ÜZÜMLÜ;YOK
Beyşehir;YAZYURDU;HAYVANCILIK
Beyşehir;YENİDOĞAN;ÇİLEK YETİŞTİRİCİLİĞİ
Beyşehir;YEŞİLDAĞ;SEBZE YETİŞTİRİCİLİĞİ
Beyşehir;YUKARIESENCE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;YUNUSLAR;SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Beyşehir;ÇİFTLİK;SEBZE YETİŞTİRİCİLİĞİ
Beyşehir;ÇİVRİL;SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Beyşehir;ÇUKURAĞIL;YOK
Bozkır;ÇAĞLAYAN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Bozkır;HAMZALAR;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Bozkır;AKÇAPINAR;YOK
Bozkır;ARMUTLU;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;ARSLANTAŞ;YOK
Bozkır;AYDINKIŞLA;HAYVANCILIK
Bozkır;AYVALCA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Bozkır;BAĞYURDU;MODERN MEYVECİLİK
Bozkır;BAYBAĞAN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;BOZDAM;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Bozkır;DEREİÇİ;MODERN MEYVECİLİK
Bozkır;DEREKÖY;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, ARI YETİŞTİRİCİLİĞİ
Bozkır;ELMAAĞAÇ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Bozkır;HACILAR;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Bozkır;HACIYUNUSLAR;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Bozkır;HARMANPINAR;YOK
Bozkır;HİSARLIK;ARI YETİŞTİRİCİLİĞİ, MANTAR YETİŞTİRİCİLİĞİ
Bozkır;IŞIKLAR;YOK
Bozkır;KARABAYIR;MODERN MEYVECİLİK, HAYVANCILIK
Bozkır;KARACAARDIÇ;MODERN MEYVECİLİK
Bozkır;KARACAHİSAR;HAYVANCILIK
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;KAYAPINAR;HAYVANCILIK
Bozkır;KINIK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;HAYVANCILIK, MODERN BAĞCILIK, ARI YETİŞTİRİCİLİĞİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Bozkır;KOVANLIK;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;KOZAĞAÇ;MODERN MEYVECİLİK, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Bozkır;KUŞÇA;TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Bozkır;KÜÇÜKHİSARLIK;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, MODERN BAĞCILIK
Bozkır;PINARCIK;SEBZE YETİŞTİRİCİLİĞİ
Bozkır;SARIOĞLAN;ÇİLEK YETİŞTİRİCİLİĞİ
Bozkır;SAZLI;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Bozkır;SOĞUCAK;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
Bozkır;SORKUN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Bozkır;SÖĞÜT;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Bozkır;TARLABAŞI;YOK
Bozkır;TAŞBAŞI;HAYVANCILIK
Bozkır;TEPEARASI;YOK
Bozkır;TEPELİCE;HAYVANCILIK
Bozkır;ULUPINAR;HAYVANCILIK
Bozkır;ÜÇPINAR;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Bozkır;YALNIZCA;MODERN SULAMA SİSTEMLERİ
Bozkır;YAZDAMI;YOK
Bozkır;YELBEYİ;SEBZE YETİŞTİRİCİLİĞİ
Bozkır;YENİKÖY;MODERN MEYVECİLİK, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Bozkır;YOLÖREN;KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ
Çeltik;GÖKPINAR;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Çeltik;ADAKASIM;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Çeltik;DOĞANYURT;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Çeltik;KAŞÖREN;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Çeltik;KÜÇÜKHASAN;HAYVANCILIK
Çeltik;TORUNLAR;HAYVANCILIK
Çeltik;İSHAKUŞAĞI;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Çeltik;HONAMLI;MODERN SULAMA SİSTEMLERİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;BÖĞRÜDELİK;HAYVANCILIK
Cihanbeyli;YAPALI;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;YENİCEOBA;HAYVANCILIK
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
Cihanbeyli;GÖKTEPE;HAYVANCILIK
Cihanbeyli;AĞABEYLİ;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Cihanbeyli;HODOĞLU;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;KAYI;MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;KIRKIŞLA;MODERN SULAMA SİSTEMLERİ
Cihanbeyli;KORKMAZLAR;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Cihanbeyli;KÜÇÜKBEŞKAVAK;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;MUTLUKONAK;HAYVANCILIK
Cihanbeyli;SAĞLIK;HAYVANCILIK
Cihanbeyli;SIĞIRCIK;HAYVANCILIK
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;HAYVANCILIK
Cihanbeyli;UZUNCAYAYLA;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Cihanbeyli;YÜNLÜKUYU;HAYVANCILIK
Cihanbeyli;ZAFERİYE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;GÖLYAZI;HAYVANCILIK
Cihanbeyli;GÜNYÜZÜ;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Cihanbeyli;İNSUYU;YOK
Cihanbeyli;KANDİL;YOK
Cihanbeyli;KARABAĞ;YOK
