ilce_adi;mahalle_adi;talep_edilen_tarimsal_egitimler
Kulu;SOĞUKKUYU;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;ŞEREFLİ;HAYVANCILIK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;TUZYAKA;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Kulu;YARAŞLI;MODERN MEYVECİLİK, HAYVANCILIK, MANTAR YETİŞTİRİCİLİĞİ
Kulu;YAZIÇAYIR;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;YEŞİLTEPE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;YEŞİLYURT;MODERN SULAMA SİSTEMLERİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;ZİNCİRLİKUYU;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Kulu;BAHADIRLI;HAYVANCILIK
Kulu;DEĞİRMENÖZÜ;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;ERENKAYA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;YATAĞAN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Meram;GÖKYURT;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;BAYAT;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Meram;BORUKTOLU;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;BOTSA;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Meram;ÇAYIRBAĞI;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Meram;ÇOMAKLAR;MODERN MEYVECİLİK, MANTAR YETİŞTİRİCİLİĞİ
Meram;ÇUKURÇİMEN;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK
Meram;EVLİYATEKKE;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Meram;HATUNSARAY;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Meram;İKİPINAR;HAYVANCILIK
Meram;İLYASBABA;HAYVANCILIK
Meram;İNLİCE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Meram;KARAAĞAÇ;TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Meram;KAVAK;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;KAYADİBİ;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Meram;KAYALI;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Meram;KAYHÜYÜK;HAYVANCILIK
Meram;KIZILÖREN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;KUMRALI;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Meram;SADIKLAR;MODERN SULAMA SİSTEMLERİ
Meram;SAĞLIK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Meram;SARIKIZ;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Meram;SEFAKÖY;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, ÇİLEK YETİŞTİRİCİLİĞİ
Meram;YEŞİLDERE;ARI YETİŞTİRİCİLİĞİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Meram;YEŞİLTEKKE;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Meram;KAŞINHANI;YOK
Sarayönü;LADİK;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;BAHÇESARAY;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;BAŞHÜYÜK;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Sarayönü;BOYALI;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Sarayönü;BÜYÜKZENGİ;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Sarayönü;ÇEŞMELİSEBİL;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;DEĞİRMENLİ;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;ERTUĞRUL;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;GÖZLÜ;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Sarayönü;KADIOĞLU;HAYVANCILIK
Sarayönü;KARABIYIK;HAYVANCILIK
Sarayönü;KARATEPE;HAYVANCILIK
Sarayönü;KAYIÖREN;HAYVANCILIK
Sarayönü;KONAR;HAYVANCILIK
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;HAYVANCILIK
Sarayönü;ÖZKENT;HAYVANCILIK
Sarayönü;YENİCEKAYA;YOK
Selçuklu;BAŞARAKAVAK;HAYVANCILIK
Selçuklu;hasan;
Selçuklu;SARAYKÖY;SEBZE YETİŞTİRİCİLİĞİ, MODERN BAĞCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;AKPINAR;HAYVANCILIK
Selçuklu;BAĞRIKURT;HAYVANCILIK
Selçuklu;BİÇER;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;ÇALDERE;YOK
Selçuklu;ÇALTI;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;YOK
Selçuklu;EĞRİBAYAT;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;MODERN SULAMA SİSTEMLERİ
Selçuklu;KARAÖMERLER;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Selçuklu;SELAHATTİN;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;ULUMUHSİNE;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Selçuklu;YAZIBELEN;YOK
Selçuklu;SİLLE;KIRSALDAN KENTE GÜVENLİ GIDA
Selçuklu;ARDIÇLI;YOK
Selçuklu;AŞAĞIPINARBAŞI;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;YUKARIPINARBAŞI;KIRSALDAN KENTE GÜVENLİ GIDA
Selçuklu;KÜÇÜKMUHSİNE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Selçuklu;SARICALAR;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;TÖMEK;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Selçuklu;YÜKSELEN;YOK
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Seydişehir;AKÇALAR;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;AŞAĞIKARAÖREN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Seydişehir;BAŞKARAÖREN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Seydişehir;BOSTANDERE;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
Seydişehir;BOYALI;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, MODERN BAĞCILIK
Seydişehir;BÜKÇE;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;ÇAT;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Seydişehir;ÇATMAKAYA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Seydişehir;ÇAVUŞ;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
Seydişehir;DİKİLİTAŞ;HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Seydişehir;GEVREKLİ;SEBZE YETİŞTİRİCİLİĞİ, MODERN BAĞCILIK
Seydişehir;GÖKÇEHÜYÜK;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Seydişehir;GÖKHÜYÜK;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;GÖLYÜZÜ;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Seydişehir;IRMAKLI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;İNCESU;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Seydişehir;KARABULAK;YOK
Seydişehir;KARACAÖREN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Seydişehir;KAVAK;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
Seydişehir;KETENLİ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;KIZILCA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Seydişehir;KOZLU;YOK
Seydişehir;KUMLUCA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Seydişehir;KURAN;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;MODERN SULAMA SİSTEMLERİ, ARI YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Seydişehir;MURADİYE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;OĞLAKÇI;KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Seydişehir;ORTAKARAÖREN;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;SARAYCIK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Seydişehir;SUSUZ;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;TARAŞÇI;YOK
Seydişehir;TAŞAĞIL;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;TEPECİK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Seydişehir;TOL;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;UFACIK;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Seydişehir;YAYLACIK;HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Seydişehir;YENİCE;YOK
Taşkent;AFŞAR;MODERN MEYVECİLİK
Taşkent;BALCILAR;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Taşkent;BOLAY;HAYVANCILIK
Taşkent;ÇETMİ;YOK
Taşkent;KECİMEN;YOK
Taşkent;KONGUL;MODERN MEYVECİLİK
Taşkent;SAZAK;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Taşkent;ILICAPINAR;KIRSALDAN KENTE GÜVENLİ GIDA
Tuzlukçu;KONARI;HAYVANCILIK
Tuzlukçu;MEVLÜTLÜ;HAYVANCILIK
Tuzlukçu;KORAŞI;HAYVANCILIK
Tuzlukçu;ÇÖĞÜRLÜ;MODERN SULAMA SİSTEMLERİ
Tuzlukçu;TURSUNLU;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Tuzlukçu;KUNDULLU;KIRSALDAN KENTE GÜVENLİ GIDA
Tuzlukçu;PAZARKAYA;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Tuzlukçu;SUBATAN;HAYVANCILIK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOĞDU;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Tuzlukçu;KÖKLÜCE;HAYVANCILIK
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;YOK
Yunak;KOÇYAZI;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;TURGUT;MODERN SULAMA SİSTEMLERİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;PİRİBEYLİ;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SÜLÜKLÜ;HAYVANCILIK
Yunak;ALTINÖZ;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;AYRITEPE;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;BEŞIŞIKLI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;EĞRİKUYU;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, ARI YETİŞTİRİCİLİĞİ
Yunak;HACIÖMEROĞLU;MODERN SULAMA SİSTEMLERİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;HATIRLI;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;HACIFAKILI;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Yunak;HARUNLAR;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;HURSUNLU;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;İMAMOĞLU;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;KARGALI;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;KARAYAYLA;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;KILLAR;TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Yunak;KURTUŞAĞI;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;KUYUBAŞI;HAYVANCILIK
Yunak;MEŞELİK;MODERN MEYVECİLİK, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;ODABAŞI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;ORTAKIŞLA;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;ÖZYAYLA;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SERTLER;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;SEVİNÇ;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;SIRAM;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SİNANLI;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Yunak;YAVAŞLI;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;YEŞİLOBA;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;YEŞİLYAYLA;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;YIĞAR;MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SARAY;ARI YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
;;
