ilce_adi;mahalle_adi;tarimsal_sulama_suyu_kaynagi
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;GÖL
Ahırlı;BÜYÜKÖZ;ŞAHSİ KUYULAR
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;ŞAHSİ KUYULAR
Ahırlı;KARACAKUYU;ŞAHSİ KUYULAR
Ahırlı;KAYACIK;ŞAHSİ KUYULAR
Ahırlı;KURUÇAY;ŞAHSİ KUYULAR
Ahırlı;KÜÇÜKÖZ;ŞAHSİ KUYULAR
Akören;AVDAN;ŞAHSİ KUYULAR
Akören;KAYASU;KOOPERATİF KUYULARI
Akören;AHMEDİYE;KOOPERATİF KUYULARI
Akören;ALAN;YOK
Akören;BELKUYU;ŞAHSİ KUYULAR
Akören;ÇATÖREN;YERALTI SULARI
Akören;DUTLU;YOK
Akören;ORHANİYE;KOOPERATİF KUYULARI
Akören;SÜLEYMANİYE;YERALTI SULARI
Akören;TÜLCE;YERALTI SULARI
Akören;KARAHÜYÜK;KOOPERATİF KUYULARI
Akşehir;ÇAKILLAR;KOOPERATİF KUYULARI
Akşehir;GEDİL;KOOPERATİF KUYULARI
Akşehir;KARAHÜYÜK;YERALTI SULARI
Akşehir;ADSIZ;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;ALANYURT;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Akşehir;ALTUNTAŞ;ÇAY
Akşehir;ATAKENT;ÇAY, AKARSU
Akşehir;BOZLAĞAN;KOOPERATİF KUYULARI
Akşehir;CANKURTARAN;ŞAHSİ KUYULAR
Akşehir;ÇAMLI;ÇAY, KANAL
Akşehir;ÇİMENDERE;ÇAY, AKARSU, KOOPERATİF KUYULARI
Akşehir;DEĞİRMENKÖY;AKARSU
Akşehir;DOĞRUGÖZ;ŞAHSİ KUYULAR
Akşehir;ENGİLİ;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;GÖLÇAYIR;KOOPERATİF KUYULARI
Akşehir;GÖZPINARI;ÇAY, YERALTI SULARI
Akşehir;ILICAK;ŞAHSİ KUYULAR, DERE
Akşehir;KARABULUT;YERALTI SULARI
Akşehir;ORTACA;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;ORTAKÖY;ŞAHSİ KUYULAR
Akşehir;REİS;ŞAHSİ KUYULAR
Akşehir;SAVAŞ;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;SORKUN;YERALTI SULARI
Akşehir;SÖĞÜTLÜ;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Akşehir;TEKKE;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;TİPİKÖY;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;ULUPINAR;ŞAHSİ KUYULAR
Akşehir;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Akşehir;YAŞARLAR;ŞAHSİ KUYULAR
Akşehir;YAYLABELEN;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;YAZLA;YERALTI SULARI
Akşehir;YENİKÖY;KOOPERATİF KUYULARI
Akşehir;YEŞİLKÖY;ÇAY, ŞAHSİ KUYULAR
Akşehir;SARAY;KOOPERATİF KUYULARI
Altınekin;OĞUZELİ;ŞAHSİ KUYULAR
Altınekin;AKCAŞAR;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;ŞAHSİ KUYULAR
Altınekin;BORUKKUYU;KOOPERATİF KUYULARI
Altınekin;HACINUMAN;ŞAHSİ KUYULAR
Altınekin;KARAKAYA;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;KOÇAŞ;YERALTI SULARI, KOOPERATİF KUYULARI
Altınekin;KOÇYAKA;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;MANTAR;YERALTI SULARI
Altınekin;YENİÖLMEZ;ŞAHSİ KUYULAR
Altınekin;SARNIÇ;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;TOPRAKLIK;ŞAHSİ KUYULAR
Altınekin;YENİKUYU;YERALTI SULARI
Altınekin;YENİYAYLA;ŞAHSİ KUYULAR
Altınekin;DEDELER;YERALTI SULARI
Altınekin;AKINCILAR;YERALTI SULARI
Beyşehir;ADAKÖY;ŞAHSİ KUYULAR
Beyşehir;AĞILÖNÜ;ŞAHSİ KUYULAR
Beyşehir;AKBURUN;ŞAHSİ KUYULAR, GÖL
Beyşehir;AKÇABELEN;KOOPERATİF KUYULARI
Beyşehir;AVDANCIK;KANAL
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;KANAL
Beyşehir;BAYAVŞAR;ÇAY
Beyşehir;BAYINDIR;GÖL
Beyşehir;BAŞGÖZE;GÖLET
Beyşehir;BEKDEMİR;GÖL
Beyşehir;DAMLAPINAR;BARAJ
Beyşehir;DOĞANBEY;BARAJ
Beyşehir;DOĞANCIK;GÖLET
Beyşehir;DUMANLI;ÇAY, AKARSU
Beyşehir;EMEN;ŞAHSİ KUYULAR
Beyşehir;ESENCE;ŞAHSİ KUYULAR
Beyşehir;EYLİKLER;DERE
Beyşehir;EĞİRLER;ŞAHSİ KUYULAR, YERALTI SULARI
Beyşehir;FASILLAR;ŞAHSİ KUYULAR
Beyşehir;GÖKÇEKUYU;GÖLET
Beyşehir;GÖKÇİMEN;ŞAHSİ KUYULAR
Beyşehir;GÖLKAŞI;GÖL
Beyşehir;GÖLYAKA;ŞAHSİ KUYULAR
Beyşehir;GÖNEN;GÖLET
Beyşehir;GÖÇÜ;ÇAY, ŞAHSİ KUYULAR
Beyşehir;GÜNDOĞDU;ŞAHSİ KUYULAR
Beyşehir;HUĞLU;BARAJ, GÖLET, YERALTI SULARI
Beyşehir;HÜSEYİNLER;ŞAHSİ KUYULAR
Beyşehir;İSAKÖY;KANAL
Beyşehir;KARAALİ;ŞAHSİ KUYULAR, BARAJ
Beyşehir;KARABAYAT;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Beyşehir;KARADİKEN;GÖL
Beyşehir;KARAHİSAR;GÖL, KANAL
Beyşehir;KAYABAŞI;ŞAHSİ KUYULAR
Beyşehir;KURUCUOVA;GÖL
Beyşehir;KUŞLUCA;ŞAHSİ KUYULAR
Beyşehir;KÜÇÜKAVŞAR;ŞAHSİ KUYULAR
Beyşehir;MESUTLAR;ŞAHSİ KUYULAR
Beyşehir;SADIKHACI;YERALTI SULARI
Beyşehir;SARIKÖY;ÇAY, AKARSU
Beyşehir;SEVİNDİK;KOOPERATİF KUYULARI
Beyşehir;ŞAMLAR;ŞAHSİ KUYULAR, GÖLET
Beyşehir;ÜÇPINAR;ŞAHSİ KUYULAR
Beyşehir;ÜSTÜNLER;ÇAY, BARAJ
Beyşehir;ÜZÜMLÜ;GÖLET
Beyşehir;YAZYURDU;ŞAHSİ KUYULAR
Beyşehir;YENİDOĞAN;GÖLET
Beyşehir;YEŞİLDAĞ;AKARSU
Beyşehir;YUKARIESENCE;GÖL
Beyşehir;YUNUSLAR;ÇAY
Beyşehir;ÇİFTLİK;GÖLET
Beyşehir;ÇİVRİL;KANAL
Beyşehir;ÇUKURAĞIL;ŞAHSİ KUYULAR
Bozkır;ÇAĞLAYAN;ŞAHSİ KUYULAR
Bozkır;HAMZALAR;ŞAHSİ KUYULAR
Bozkır;AKÇAPINAR;GÖLET
Bozkır;ARMUTLU;ŞAHSİ KUYULAR, DERE
Bozkır;ARSLANTAŞ;ŞAHSİ KUYULAR
Bozkır;AYDINKIŞLA;ŞAHSİ KUYULAR
Bozkır;AYVALCA;ŞAHSİ KUYULAR
Bozkır;BAĞYURDU;ŞAHSİ KUYULAR
Bozkır;BAYBAĞAN;DERE
Bozkır;BOZDAM;ŞAHSİ KUYULAR
Bozkır;DEREİÇİ;GÖLET
Bozkır;DEREKÖY;ÇAY
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;ŞAHSİ KUYULAR
Bozkır;HACIYUNUSLAR;ŞAHSİ KUYULAR
Bozkır;HARMANPINAR;ŞAHSİ KUYULAR
Bozkır;HİSARLIK;ŞAHSİ KUYULAR
Bozkır;IŞIKLAR;DERE
Bozkır;KARABAYIR;ŞAHSİ KUYULAR
Bozkır;KARACAARDIÇ;ŞAHSİ KUYULAR
Bozkır;KARACAHİSAR;YERALTI SULARI
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;ŞAHSİ KUYULAR
Bozkır;KAYAPINAR;ŞAHSİ KUYULAR, AKARSU
Bozkır;KINIK;ŞAHSİ KUYULAR
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;DERE
Bozkır;KOVANLIK;ÇAY
Bozkır;KOZAĞAÇ;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;KUŞÇA;ŞAHSİ KUYULAR, DERE
Bozkır;KÜÇÜKHİSARLIK;ŞAHSİ KUYULAR
Bozkır;PINARCIK;ŞAHSİ KUYULAR, DERE
Bozkır;SARIOĞLAN;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;SAZLI;ŞAHSİ KUYULAR
Bozkır;SOĞUCAK;ŞAHSİ KUYULAR
Bozkır;SORKUN;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;SÖĞÜT;ŞAHSİ KUYULAR, DERE
Bozkır;TARLABAŞI;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;ŞAHSİ KUYULAR
Bozkır;TEPELİCE;ŞAHSİ KUYULAR
Bozkır;ULUPINAR;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;ÜÇPINAR;ŞAHSİ KUYULAR, DERE
Bozkır;YALNIZCA;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;YAZDAMI;ŞAHSİ KUYULAR
Bozkır;YELBEYİ;ŞAHSİ KUYULAR, YERALTI SULARI
Bozkır;YENİKÖY;ŞAHSİ KUYULAR
Bozkır;YOLÖREN;ÇAY, ŞAHSİ KUYULAR
Çeltik;GÖKPINAR;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Çeltik;ADAKASIM;YERALTI SULARI
Çeltik;DOĞANYURT;ŞAHSİ KUYULAR, YERALTI SULARI
Çeltik;KAŞÖREN;ŞAHSİ KUYULAR
Çeltik;KÜÇÜKHASAN;ŞAHSİ KUYULAR, YERALTI SULARI
Çeltik;TORUNLAR;AKARSU, YERALTI SULARI
Çeltik;İSHAKUŞAĞI;YERALTI SULARI
Çeltik;HONAMLI;ŞAHSİ KUYULAR
Cihanbeyli;BÖĞRÜDELİK;KOOPERATİF KUYULARI
Cihanbeyli;YAPALI;ŞAHSİ KUYULAR
Cihanbeyli;YENİCEOBA;ŞAHSİ KUYULAR
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;ŞAHSİ KUYULAR
Cihanbeyli;GÖKTEPE;ŞAHSİ KUYULAR
Cihanbeyli;AĞABEYLİ;ŞAHSİ KUYULAR
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;KIRKIŞLA;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;KORKMAZLAR;ŞAHSİ KUYULAR
Cihanbeyli;KÜÇÜKBEŞKAVAK;ŞAHSİ KUYULAR
Cihanbeyli;MUTLUKONAK;ŞAHSİ KUYULAR, DERE, AKARSU
Cihanbeyli;SAĞLIK;YOK
Cihanbeyli;SIĞIRCIK;YERALTI SULARI
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;UZUNCAYAYLA;ŞAHSİ KUYULAR
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERİYE;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;GÖLYAZI;ŞAHSİ KUYULAR
Cihanbeyli;GÜNYÜZÜ;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;İNSUYU;ŞAHSİ KUYULAR
Cihanbeyli;KANDİL;ŞAHSİ KUYULAR
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;ŞAHSİ KUYULAR
Cihanbeyli;KUŞCA;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;KÜTÜKUŞAĞI;ŞAHSİ KUYULAR
Cihanbeyli;TAŞPINAR;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;BEYLİOVA;ŞAHSİ KUYULAR
Cihanbeyli;ÇİMEN;YERALTI SULARI
Cihanbeyli;ÇÖL;ŞAHSİ KUYULAR, YERALTI SULARI
Cihanbeyli;DAMLAKUYU;ŞAHSİ KUYULAR
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;YERALTI SULARI
Çumra;DEDEMOĞLU;ŞAHSİ KUYULAR, YERALTI SULARI
Çumra;TÜRKMENCAMİLİ;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Çumra;A.B.HÜYÜĞÜ;KOOPERATİF KUYULARI
Çumra;DİNEK;BARAJ, YERALTI SULARI
Çumra;İÇERİÇUMRA;ŞAHSİ KUYULAR
Çumra;GÜVERCİNLİK;YERALTI SULARI
Çumra;KARKIN;BARAJ, YERALTI SULARI
Çumra;OKÇU;KANAL, YERALTI SULARI
Çumra;YENİSU;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Çumra;APA;BARAJ
Çumra;ABDİTOLU;KANAL, YERALTI SULARI
Çumra;ADAKALE;YERALTI SULARI
Çumra;ALEMDAR;ŞAHSİ KUYULAR
Çumra;APASARAYCIK;ŞAHSİ KUYULAR
Çumra;AFŞAR;YOK
Çumra;AVDUL;KOOPERATİF KUYULARI
Çumra;BALÇIKHİSAR;KANAL
Çumra;BEYLERCE;YERALTI SULARI
Çumra;B.AŞLAMA;YERALTI SULARI
Çumra;CİCEK;YERALTI SULARI
Çumra;ÇUKURKAVAK;YERALTI SULARI
Çumra;DİNLENDİK;YERALTI SULARI
Çumra;DİNEKSARAY;BARAJ, KOOPERATİF KUYULARI
Çumra;DOĞANLI;ŞAHSİ KUYULAR, BARAJ
Çumra;FETHİYE;KOOPERATİF KUYULARI
Çumra;GÖKHÜYÜK;ŞAHSİ KUYULAR, BARAJ, YERALTI SULARI
Çumra;ERENTEPE;ŞAHSİ KUYULAR
Çumra;İNLİ;YERALTI SULARI
Çumra;KUZUCU;YERALTI SULARI
Çumra;KÜÇÜKKÖY;ŞAHSİ KUYULAR, BARAJ, DERE
Çumra;SEÇME;ŞAHSİ KUYULAR
Çumra;SÜRGÜÇ;KOOPERATİF KUYULARI
Çumra;TAHTALI;YERALTI SULARI
Çumra;T.KARAHÜYÜK;BARAJ, KANAL
Çumra;TAŞAĞIL;BARAJ, YERALTI SULARI
Çumra;UZUNKUYU;KOOPERATİF KUYULARI
Çumra;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Çumra;ÜRÜNLÜ;YERALTI SULARI
Çumra;YÖRÜKCAMİLİ;YERALTI SULARI
Çumra;ÇAYBAŞI;KOOPERATİF KUYULARI
Derbent;ÇİFTLİKÖZÜ;GÖLET
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;ŞAHSİ KUYULAR
Derbent;GÜNEYKÖY;YERALTI SULARI
Derbent;MÜLAYİM;YOK
Derbent;SARAYPINAR;ŞAHSİ KUYULAR
Derbent;YASSIÖREN;GÖLET, YERALTI SULARI
Derbent;SÜLEYMAN;ŞAHSİ KUYULAR
Derbent;KARALAR;ŞAHSİ KUYULAR, BARAJ
Derebucak;ÇAMLIK;ŞAHSİ KUYULAR, GÖLET
Derebucak;DURAK;YOK
Derebucak;GENCEK;GÖLET
Derebucak;GÖYNEM;BARAJ
Derebucak;PINARBAŞI;BARAJ
Derebucak;TAŞLIPINAR;YERALTI SULARI
Derebucak;TEPEARASI;ŞAHSİ KUYULAR
Derebucak;UĞURLU;YERALTI SULARI
Doğanhisar;BAŞKÖY;BARAJ, GÖLET
Doğanhisar;YAZLICA;GÖLET
Doğanhisar;AYASLAR;GÖLET
Doğanhisar;ÇINAROBA;GÖLET
Doğanhisar;DEŞTİĞİN;GÖLET
Doğanhisar;FIRINLI;AKARSU, GÖLET
Doğanhisar;GÜVENDİK;GÖLET
Doğanhisar;İLYASLAR;BARAJ, GÖLET
Doğanhisar;KARAAĞA;KOOPERATİF KUYULARI
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;YERALTI SULARI
Doğanhisar;KONAKKALE;GÖLET
Doğanhisar;TEKKE;ŞAHSİ KUYULAR, BARAJ
Doğanhisar;UNCULAR;ŞAHSİ KUYULAR, YERALTI SULARI
Doğanhisar;YAZIR;ŞAHSİ KUYULAR, GÖLET
Doğanhisar;YENİCE;GÖLET
Emirgazi;EKİZLİ;ŞAHSİ KUYULAR
Emirgazi;AKMESCİT;KOOPERATİF KUYULARI
Emirgazi;BESCİ;ŞAHSİ KUYULAR, YERALTI SULARI
Emirgazi;DEMİRCİ;ŞAHSİ KUYULAR
Emirgazi;GÖLÖREN;ŞAHSİ KUYULAR
Emirgazi;IŞIKLAR;YERALTI SULARI
Emirgazi;KARAÖREN;ŞAHSİ KUYULAR
Emirgazi;MEŞELİ;ŞAHSİ KUYULAR, YERALTI SULARI
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;ŞAHSİ KUYULAR
Ereğli;ZENGEN;ŞAHSİ KUYULAR, YERALTI SULARI
Ereğli;ACIPINAR;BARAJ
Ereğli;ADABAĞ;BARAJ
Ereğli;AKHÜYÜK;BARAJ
Ereğli;ALHAN;ŞAHSİ KUYULAR, BARAJ
Ereğli;AŞAĞI GÖNDELEN;BARAJ, YERALTI SULARI
Ereğli;AŞIKLAR;YERALTI SULARI, KOOPERATİF KUYULARI
Ereğli;AZİZİYE;BARAJ
Ereğli;BAHÇELİ;BARAJ
Ereğli;BELCEAĞAÇ;BARAJ
Ereğli;BELKAYA;YERALTI SULARI, KOOPERATİF KUYULARI
Ereğli;BEYKÖY;BARAJ
Ereğli;BEYÖREN;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Ereğli;BULGURLUK;BARAJ
Ereğli;BURHANİYE;BARAJ
Ereğli;BÜYÜKDEDE;AKARSU
Ereğli;ÇAKMAK;ŞAHSİ KUYULAR, GÖLET, YERALTI SULARI
Ereğli;ÇAYHAN;GÖLET
Ereğli;ÇİLLER;BARAJ, YERALTI SULARI
Ereğli;ÇİMENCİK;BARAJ
Ereğli;GAYBİ;BARAJ
Ereğli;GÖKÇEYAZI;BARAJ
Ereğli;GÖKTÖME;BARAJ
Ereğli;HACIMEMİŞ;BARAJ
Ereğli;KAMIŞLIKUYU;BARAJ
Ereğli;KARABURUN;BARAJ
Ereğli;KARGACI;BARAJ, YERALTI SULARI
Ereğli;KIZILGEDİK;YOK
Ereğli;KUSKUNCUK;BARAJ
Ereğli;KUTÖREN;ŞAHSİ KUYULAR
Ereğli;KUZUKUYU;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Ereğli;MELİCEK;BARAJ, YERALTI SULARI
Ereğli;ORHANİYE;BARAJ
Ereğli;ÖZGÜRLER;BARAJ
Ereğli;PINARÖZÜ;YERALTI SULARI
Ereğli;SARICA;BARAJ
Ereğli;SARITOPALLI;YERALTI SULARI
Ereğli;SELVİLİ;ŞAHSİ KUYULAR
Ereğli;TAŞAĞIL;ŞAHSİ KUYULAR, BARAJ
Ereğli;TAŞBUDAK;ŞAHSİ KUYULAR, YERALTI SULARI
Ereğli;TATLIKUYU;ŞAHSİ KUYULAR, YERALTI SULARI
Ereğli;TÜRKMEN;BARAJ
Ereğli;ULUMEŞE;BARAJ, DERE
Ereğli;YAZLIK;ŞAHSİ KUYULAR, BARAJ
Ereğli;YELLİCE;KANAL
Ereğli;YENİKÖY;ŞAHSİ KUYULAR
Ereğli;YILDIZLI;BARAJ
Ereğli;YUKARIGÖNDELEN;ŞAHSİ KUYULAR, BARAJ, YERALTI SULARI
Ereğli;HORTU;ŞAHSİ KUYULAR, YERALTI SULARI
Ereğli;ACIKUYU;ŞAHSİ KUYULAR, BARAJ, YERALTI SULARI
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;KOOPERATİF KUYULARI
Güneysınır;ALANÖZÜ;ŞAHSİ KUYULAR
Güneysınır;AVCITEPE;ŞAHSİ KUYULAR
Güneysınır;AYDOĞMUŞ;YOK
Güneysınır;HABİLLER;BARAJ
Güneysınır;KARAGÜNEY;YERALTI SULARI
Güneysınır;KAYAAĞZI;DERE, YERALTI SULARI
Güneysınır;KIZILÖZ;ŞAHSİ KUYULAR
Güneysınır;KURUKAVAK;ŞAHSİ KUYULAR
Güneysınır;MEHMET ALİ;GÖLET
Güneysınır;ÖMEROĞLU;ŞAHSİ KUYULAR
